name, lat (degrees), lon (degrees), alt (feet), trk (degrees), gs (knots), vs (f/m), time (s)
TRAF2, 37.01993089, -76.58850020, 656.36590000, -84.49794827, 27.17101152, 0.00000000, 53.0
TRAF1, 37.02404978, -76.59473509, 656.36590000, 128.55787346, 26.38695916, 0.00000000, 53.0
TRAF3, 37.02307633, -76.59366045, 753.78190000, 44.74327506, 34.20853984, 0.00000000, 54.0
TRAF2, 37.01994295, -76.58865702, 656.36590000, -84.49804270, 27.17101152, 0.00000000, 54.0
TRAF1, 37.02397363, -76.59461543, 656.36590000, 128.55794551, 26.38695916, 0.00000000, 54.0
TRAF3, 37.02318882, -76.59352082, 753.78190000, 44.74335914, 34.20853984, 0.00000000, 55.0
TRAF2, 37.01995501, -76.58881384, 656.36590000, -84.49813712, 27.17101152, 0.00000000, 55.0
TRAF1, 37.02389749, -76.59449578, 656.36590000, 128.55801756, 26.38695916, 0.00000000, 55.0
TRAF3, 37.02330131, -76.59338118, 753.78190000, 44.74344322, 34.20853984, 0.00000000, 56.0
TRAF2, 37.01996707, -76.58897067, 656.36590000, -84.49823154, 27.17101152, 0.00000000, 56.0
TRAF1, 37.02382134, -76.59437613, 656.36590000, 128.55808961, 26.38695916, 0.00000000, 56.0
TRAF3, 37.02341379, -76.59324155, 753.78190000, 44.74352730, 34.20853984, 0.00000000, 57.0
TRAF2, 37.01997913, -76.58912749, 656.36590000, -84.49832596, 27.17101152, 0.00000000, 57.0
TRAF1, 37.02374520, -76.59425648, 656.36590000, 128.55816166, 26.38695916, 0.00000000, 57.0
TRAF3, 37.02352628, -76.59310191, 753.78190000, 44.74361138, 34.20853984, 0.00000000, 58.0
TRAF2, 37.01999119, -76.58928432, 656.36590000, -84.49842039, 27.17101152, 0.00000000, 58.0
TRAF1, 37.02366906, -76.59413683, 656.36590000, 128.55823370, 26.38695916, 0.00000000, 58.0
TRAF3, 37.02363876, -76.59296227, 753.78190000, 44.74369546, 34.20853984, 0.00000000, 59.0
TRAF2, 37.02000325, -76.58944114, 656.36590000, -84.49851481, 27.17101152, 0.00000000, 59.0
TRAF1, 37.02359291, -76.59401718, 656.36590000, 128.55830575, 26.38695916, 0.00000000, 59.0
TRAF3, 37.02375125, -76.59282264, 753.78190000, 44.74377954, 34.20853984, 0.00000000, 60.0
TRAF2, 37.02001531, -76.58959796, 656.36590000, -84.49860923, 27.17101152, 0.00000000, 60.0
TRAF1, 37.02351677, -76.59389753, 656.36590000, 128.55837780, 26.38695916, 0.00000000, 60.0
TRAF3, 37.02386374, -76.59268300, 753.78190000, 44.74386362, 34.20853984, 0.00000000, 61.0
TRAF2, 37.02002737, -76.58975479, 656.36590000, -84.49870366, 27.17101152, 0.00000000, 61.0
TRAF1, 37.02344062, -76.59377788, 656.36590000, 128.55844984, 26.38695916, 0.00000000, 61.0
TRAF3, 37.02397622, -76.59254336, 753.78190000, 44.74394771, 34.20853984, 0.00000000, 62.0
TRAF2, 37.02003943, -76.58991161, 656.36590000, -84.49879808, 27.17101152, 0.00000000, 62.0
TRAF1, 37.02336448, -76.59365823, 656.36590000, 128.55852189, 26.38695916, 0.00000000, 62.0
TRAF3, 37.02408871, -76.59240372, 753.78190000, 44.74403179, 34.20853984, 0.00000000, 63.0
TRAF2, 37.02005149, -76.59006844, 656.36590000, -84.49889250, 27.17101152, 0.00000000, 63.0
TRAF1, 37.02328833, -76.59353858, 656.36590000, 128.55859394, 26.38695916, 0.00000000, 63.0
TRAF3, 37.02420119, -76.59226408, 753.78190000, 44.74411587, 34.20853984, 0.00000000, 64.0
TRAF2, 37.02006355, -76.59022526, 656.36590000, -84.49898692, 27.17101152, 0.00000000, 64.0
TRAF1, 37.02321219, -76.59341893, 656.36590000, 128.55866598, 26.38695916, 0.00000000, 64.0
TRAF3, 37.02431368, -76.59212444, 753.78190000, 44.74419996, 34.20853984, 0.00000000, 65.0
TRAF2, 37.02007558, -76.59038335, 656.36590000, -85.79681156, 29.99998901, 0.00000000, 65.0
TRAF1, 37.02313604, -76.59329928, 656.36590000, 128.55873803, 26.38695916, 0.00000000, 65.0
TRAF3, 37.02442617, -76.59198480, 753.78190000, 44.74428404, 34.20853984, 0.00000000, 66.0
TRAF2, 37.02007558, -76.59038335, 656.36590000, -85.79681156, 29.99998901, 0.00000000, 66.0
TRAF1, 37.02305989, -76.59317963, 656.36590000, 128.55881007, 26.38695916, 0.00000000, 66.0
TRAF3, 37.02453865, -76.59184516, 753.78190000, 44.74436813, 34.20853984, 0.00000000, 67.0
TRAF2, 37.02006524, -76.59055618, 656.36590000, -102.77362901, 29.99998901, 0.00000000, 67.0
TRAF1, 37.02298375, -76.59305998, 656.36590000, 128.55888212, 26.38695916, 0.00000000, 67.0
TRAF3, 37.02465114, -76.59170552, 753.78190000, 44.74445221, 34.20853983, 0.00000000, 68.0
TRAF2, 37.02001506, -76.59071770, 656.36590000, -119.75044645, 29.99998901, 0.00000000, 68.0
TRAF1, 37.02290760, -76.59294033, 656.36590000, 128.55895416, 26.38695916, 0.00000000, 68.0
TRAF3, 37.02476362, -76.59156588, 753.78190000, 44.74453630, 34.20853984, 0.00000000, 69.0
TRAF2, 37.01992941, -76.59085383, 656.36590000, -136.72726390, 29.99998901, 0.00000000, 69.0
TRAF1, 37.02283146, -76.59282069, 656.36590000, 128.55902622, 26.38695916, 0.00000000, 69.0
